Date,Time Spent (seconds),Number of People,Activity,Category,Productivity
2014-03-05T15:00:00,221,1,stackoverflow.com,General Software Development,2
2014-03-05T15:00:00,137,1,reference.sitepoint.com,General News &amp; Opinion,-2
2014-03-05T15:00:00,129,1,zulip,Uncategorized,0
2014-03-05T15:00:00,127,1,bost.ocks.org,Uncategorized,0
2014-03-05T15:00:00,92,1,tumyumnyc.com,Uncategorized,0
2014-03-05T15:00:00,50,1,localhost:8000,Quality Assurance,2
2014-03-05T15:00:00,48,1,jeffknupp.com,Uncategorized,0
2014-03-05T15:00:00,36,1,yelp.com,Search,2
2014-03-05T15:00:00,35,1,loginwindow,General Utilities,1
2014-03-05T15:00:00,31,1,newtab,Browsers,0
2014-03-05T15:00:00,9,1,github.com,General Software Development,2
2014-03-05T15:00:00,2,1,help.github.com,Systems Operations,2
2014-03-05T15:00:00,1,1,dotfiles.github.io,Uncategorized,0
2014-03-05T16:00:00,1458,1,iTerm,Systems Operations,2
2014-03-05T16:00:00,802,1,w3schools.com,Engineering &amp; Technology,2
2014-03-05T16:00:00,409,1,github.com,General Software Development,2
2014-03-05T16:00:00,196,1,git-scm.com,General Software Development,2
2014-03-05T16:00:00,147,1,localhost:8000,Quality Assurance,2
2014-03-05T16:00:00,140,1,corner.squareup.com,Uncategorized,0
2014-03-05T16:00:00,130,1,stackoverflow.com,General Software Development,2
2014-03-05T16:00:00,129,1,google.com,Search,2
2014-03-05T16:00:00,44,1,zulip,Uncategorized,0
2014-03-05T16:00:00,37,1,newtab,Browsers,0
2014-03-05T16:00:00,33,1,nathanhoad.net,Uncategorized,0
2014-03-05T16:00:00,17,1,jskelcy.github.io,Uncategorized,0
2014-03-05T16:00:00,16,1,dailyvim.tumblr.com,Uncategorized,0
2014-03-05T16:00:00,11,1,superuser.com,General News &amp; Opinion,-2
2014-03-05T16:00:00,10,1,dtsironis.net,Uncategorized,0
2014-03-05T16:00:00,8,1,vim.org,General News &amp; Opinion,-2
2014-03-05T16:00:00,5,1,blog.networkpresence.co,Uncategorized,0
2014-03-05T16:00:00,5,1,raw.github.com,General Software Development,2
2014-03-05T16:00:00,1,1,Blank Web Browser,Internet Utilities,-2
2014-03-05T17:00:00,504,1,iTerm,Systems Operations,2
2014-03-05T17:00:00,254,1,github.com,General Software Development,2
2014-03-05T17:00:00,110,1,dtsironis.net,Uncategorized,0
2014-03-05T17:00:00,71,1,w3schools.com,Engineering &amp; Technology,2
2014-03-05T17:00:00,24,1,localhost:8000,Quality Assurance,2
2014-03-05T17:00:00,9,1,google.com,Search,2
2014-03-05T17:00:00,5,1,newtab,Browsers,0
2014-03-05T18:00:00,1148,1,iTerm,Systems Operations,2
2014-03-05T18:00:00,238,1,w3schools.com,Engineering &amp; Technology,2
2014-03-05T18:00:00,220,1,localhost:8000,Quality Assurance,2
2014-03-05T18:00:00,201,1,stackoverflow.com,General Software Development,2
2014-03-05T18:00:00,111,1,slideshare.net,Presentation,2
2014-03-05T18:00:00,98,1,github.com,General Software Development,2
2014-03-05T18:00:00,68,1,loginwindow,General Utilities,1
2014-03-05T18:00:00,61,1,evernote,Intelligence,2
2014-03-05T18:00:00,39,1,developer.mozilla.org,Engineering &amp; Technology,2
2014-03-05T18:00:00,35,1,newtab,Browsers,0
2014-03-05T18:00:00,25,1,google.com,Search,2
2014-03-05T18:00:00,20,1,jskelcy.github.io,Uncategorized,0
2014-03-05T18:00:00,3,1,echoecho.com,General News &amp; Opinion,-2
2014-03-05T22:00:00,687,1,Twitter,General Social Networking,2
2014-03-05T22:00:00,310,1,youtube.com,Video,-2
2014-03-05T22:00:00,85,1,ow.ly,Search,2
2014-03-05T22:00:00,81,1,cityroom.blogs.nytimes.com,General News &amp; Opinion,-2
2014-03-05T22:00:00,42,1,newsfeed.time.com,General News &amp; Opinion,-2
2014-03-05T22:00:00,32,1,eventbrite.com,Calendars,0
2014-03-05T22:00:00,4,1,t.co,General Social Networking,2
2014-03-05T22:00:00,3,1,nyti.ms,General News &amp; Opinion,-2
2014-03-05T22:00:00,3,1,newtab,Browsers,0
2014-03-05T22:00:00,2,1,ti.me,Uncategorized,0
2014-03-05T22:00:00,2,1,github.com,General Software Development,2
2014-03-05T23:00:00,1390,1,airbnb.com,Travel &amp; Outdoors,2
2014-03-05T23:00:00,748,1,Twitter,General Social Networking,2
2014-03-05T23:00:00,434,1,eventbrite.com,Calendars,0
2014-03-05T23:00:00,180,1,facebook.com,General Social Networking,2
2014-03-05T23:00:00,134,1,google.com,Search,2
2014-03-05T23:00:00,118,1,hackerschool.com,Uncategorized,0
2014-03-05T23:00:00,78,1,1password,Internet Utilities,-2
2014-03-05T23:00:00,70,1,google.com/calendar,Calendars,0
2014-03-05T23:00:00,33,1,github.com,General Software Development,2
2014-03-05T23:00:00,15,1,Gmail,Email,0
2014-03-05T23:00:00,13,1,1password mini,Uncategorized,0
2014-03-05T23:00:00,11,1,jskelcy.github.io,Uncategorized,0
2014-03-05T23:00:00,4,1,en.wikipedia.org,General Reference &amp; Learning,2
2014-03-05T23:00:00,2,1,newtab,Browsers,0
2014-03-05T23:00:00,1,1,maps.google.com,Maps &amp; Regional,2
2014-03-05T23:00:00,1,1,t.co,General Social Networking,2
2014-03-06T00:00:00,2134,1,airbnb.com,Travel &amp; Outdoors,2
2014-03-06T00:00:00,538,1,facebook.com,General Social Networking,2
2014-03-06T00:00:00,239,1,Twitter,General Social Networking,2
2014-03-06T00:00:00,35,1,loginwindow,General Utilities,1
2014-03-06T00:00:00,11,1,github.com,General Software Development,2
2014-03-06T00:00:00,1,1,jskelcy.github.io,Uncategorized,0
2014-03-06T10:00:00,272,1,facebook.github.io,Uncategorized,0
2014-03-06T10:00:00,124,1,iTerm,Systems Operations,2
2014-03-06T10:00:00,95,1,zulip,Uncategorized,0
2014-03-06T10:00:00,86,1,jskelcy.github.io,Uncategorized,0
2014-03-06T10:00:00,4,1,newtab,Browsers,0
2014-03-06T10:00:00,3,1,localhost:8000,Quality Assurance,2
2014-03-06T10:00:00,2,1,google.com,Search,2
2014-03-06T10:00:00,2,1,github.com,General Software Development,2
2014-03-06T11:00:00,2400,1,iTerm,Systems Operations,2
2014-03-06T11:00:00,547,1,localhost:8000,Quality Assurance,2
2014-03-06T11:00:00,313,1,facebook.github.io,Uncategorized,0
2014-03-06T11:00:00,252,1,jskelcy.github.io,Uncategorized,0
2014-03-06T11:00:00,61,1,zulip,Uncategorized,0
2014-03-06T11:00:00,26,1,Finder,General Utilities,1
2014-03-06T11:00:00,1,1,github.com,General Software Development,2
2014-03-06T12:00:00,3021,1,iTerm,Systems Operations,2
2014-03-06T12:00:00,332,1,localhost:8000,Quality Assurance,2
2014-03-06T12:00:00,8,1,zulip,Uncategorized,0
2014-03-06T13:00:00,1333,1,iTerm,Systems Operations,2
2014-03-06T13:00:00,929,1,localhost:8000,Quality Assurance,2
2014-03-06T13:00:00,35,1,loginwindow,General Utilities,1
2014-03-06T13:00:00,2,1,newtab,Browsers,0
2014-03-06T14:00:00,212,1,iTerm,Systems Operations,2
2014-03-06T14:00:00,60,1,localhost:8000,Quality Assurance,2
2014-03-06T14:00:00,43,1,zulip,Uncategorized,0
2014-03-06T15:00:00,1957,1,iTerm,Systems Operations,2
2014-03-06T15:00:00,366,1,wish,General Software Development,2
2014-03-06T15:00:00,240,1,localhost:8000,Quality Assurance,2
2014-03-06T15:00:00,191,1,localhost:8001,General Software Development,2
2014-03-06T15:00:00,176,1,localhost:8002,General Software Development,2
2014-03-06T15:00:00,40,1,google.com,Search,2
2014-03-06T15:00:00,40,1,dotfiles.github.io,Uncategorized,0
2014-03-06T15:00:00,35,1,facebook.github.io,Uncategorized,0
2014-03-06T15:00:00,33,1,github.com,General Software Development,2
2014-03-06T15:00:00,26,1,stackoverflow.com,General Software Development,2
2014-03-06T15:00:00,23,1,Twitter,General Social Networking,2
2014-03-06T15:00:00,22,1,newtab,Browsers,0
2014-03-06T15:00:00,3,1,developer.mozilla.org,Engineering &amp; Technology,2
2014-03-06T15:00:00,3,1,git-scm.com,General Software Development,2
2014-03-06T15:00:00,2,1,w3schools.com,Engineering &amp; Technology,2
2014-03-06T15:00:00,2,1,dailyvim.tumblr.com,Uncategorized,0
2014-03-06T15:00:00,1,1,accounts.google.com,General Communication &amp; Scheduling,0
2014-03-06T15:00:00,1,1,Finder,General Utilities,1
2014-03-06T15:00:00,1,1,dtsironis.net,Uncategorized,0
2014-03-06T16:00:00,2611,1,iTerm,Systems Operations,2
2014-03-06T16:00:00,204,1,clockworkbjj.com,Uncategorized,0
2014-03-06T16:00:00,135,1,localhost:8000,Quality Assurance,2
2014-03-06T16:00:00,124,1,stackoverflow.com,General Software Development,2
2014-03-06T16:00:00,76,1,zulip,Uncategorized,0
2014-03-06T16:00:00,32,1,localhost:8002,General Software Development,2
2014-03-06T16:00:00,29,1,github.com,General Software Development,2
2014-03-06T16:00:00,24,1,git-scm.com,General Software Development,2
2014-03-06T16:00:00,18,1,newtab,Browsers,0
2014-03-06T16:00:00,11,1,google.com,Search,2
2014-03-06T16:00:00,9,1,localhost:8001,General Software Development,2
2014-03-06T16:00:00,5,1,facebook.github.io,Uncategorized,0
2014-03-06T17:00:00,2034,1,iTerm,Systems Operations,2
2014-03-06T17:00:00,91,1,localhost:8003,Uncategorized,0
2014-03-06T17:00:00,53,1,localhost:8000,Quality Assurance,2
2014-03-06T17:00:00,35,1,loginwindow,General Utilities,1
2014-03-06T17:00:00,3,1,newtab,Browsers,0
2014-03-06T17:00:00,2,1,localhost:8001,General Software Development,2
2014-03-06T17:00:00,1,1,stackoverflow.com,General Software Development,2
2014-03-06T17:00:00,1,1,zulip,Uncategorized,0
2014-03-06T17:00:00,1,1,localhost:8002,General Software Development,2
2014-03-07T00:00:00,1045,1,Twitter,General Social Networking,2
2014-03-07T00:00:00,483,1,facebook.com,General Social Networking,2
2014-03-07T00:00:00,48,1,github.com,General Software Development,2
2014-03-07T00:00:00,40,1,iTerm,Systems Operations,2
2014-03-07T00:00:00,27,1,maplesoft.com,Search,2
2014-03-07T00:00:00,20,1,wolfram.com,Intelligence,2
2014-03-07T00:00:00,17,1,instagram.com,General Social Networking,2
2014-03-07T00:00:00,13,1,hackerschool.com,Uncategorized,0
2014-03-07T00:00:00,11,1,localhost:8003,Uncategorized,0
2014-03-07T00:00:00,4,1,newtab,Browsers,0
2014-03-07T00:00:00,2,1,ow.ly,Search,2
2014-03-07T00:00:00,1,1,t.co,General Social Networking,2
2014-03-07T00:00:00,1,1,stackoverflow.com,General Software Development,2
2014-03-07T01:00:00,100,1,stackoverflow.com,General Software Development,2
2014-03-07T01:00:00,73,1,facebook.com,General Social Networking,2
2014-03-07T01:00:00,38,1,loginwindow,General Utilities,1
2014-03-07T01:00:00,12,1,newtab,Browsers,0
2014-03-07T01:00:00,3,1,hackerschool.com,Uncategorized,0
2014-03-07T01:00:00,2,1,github.com,General Software Development,2
2014-03-07T01:00:00,2,1,Twitter,General Social Networking,2
2014-03-07T12:00:00,2399,1,iTerm,Systems Operations,2
2014-03-07T12:00:00,185,1,vim.wikia.com,General News &amp; Opinion,-2
2014-03-07T12:00:00,171,1,vimregex.com,Uncategorized,0
2014-03-07T12:00:00,134,1,w3schools.com,Engineering &amp; Technology,2
2014-03-07T12:00:00,104,1,localhost:8005,Uncategorized,0
2014-03-07T12:00:00,101,1,stackoverflow.com,General Software Development,2
2014-03-07T12:00:00,98,1,github.com,General Software Development,2
2014-03-07T12:00:00,89,1,help.typepad.com,Uncategorized,0
2014-03-07T12:00:00,51,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-07T12:00:00,40,1,localhost:8004,Data Modeling &amp; Analysis,2
2014-03-07T12:00:00,31,1,google.com,Search,2
2014-03-07T12:00:00,23,1,messages,Instant Message,-1
2014-03-07T12:00:00,22,1,newtab,Browsers,0
2014-03-07T12:00:00,16,1,evernote,Intelligence,2
2014-03-07T12:00:00,7,1,Adium,Instant Message,-1
2014-03-07T13:00:00,248,1,iTerm,Systems Operations,2
2014-03-07T13:00:00,25,1,localhost:8004,Data Modeling &amp; Analysis,2
2014-03-07T13:00:00,3,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-07T18:00:00,428,1,google.com/calendar,Calendars,0
2014-03-07T18:00:00,156,1,Gmail,Email,0
2014-03-07T18:00:00,65,1,localhost:8004,Data Modeling &amp; Analysis,2
2014-03-07T18:00:00,47,1,drive.google.com,General Business,2
2014-03-07T18:00:00,40,1,loginwindow,General Utilities,1
2014-03-07T18:00:00,15,1,newtab,Browsers,0
2014-03-07T18:00:00,3,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-07T18:00:00,2,1,github.com,General Software Development,2
2014-03-07T18:00:00,2,1,stackoverflow.com,General Software Development,2
2014-03-07T18:00:00,2,1,Google Docs,Writing,2
2014-03-07T19:00:00,487,1,airbnb.com,Travel &amp; Outdoors,2
2014-03-07T19:00:00,213,1,Gmail,Email,0
2014-03-07T19:00:00,202,1,my.hostmonster.com,Operations,2
2014-03-07T19:00:00,175,1,drive.google.com,General Business,2
2014-03-07T19:00:00,134,1,hostmonster.com,Internet Utilities,-2
2014-03-07T19:00:00,105,1,turn.com,Uncategorized,0
2014-03-07T19:00:00,96,1,1password mini,Uncategorized,0
2014-03-07T19:00:00,35,1,loginwindow,General Utilities,1
2014-03-07T19:00:00,11,1,1password,Internet Utilities,-2
2014-03-07T19:00:00,10,1,host229.hostmonster.com:2083,Uncategorized,0
2014-03-07T19:00:00,5,1,newtab,Browsers,0
2014-03-07T19:00:00,2,1,google.com,Search,2
2014-03-07T19:00:00,1,1,email.airbnb.com,Uncategorized,0
2014-03-07T19:00:00,1,1,divvy,General Utilities,1
2014-03-08T16:00:00,885,1,mathematica,Engineering &amp; Technology,2
2014-03-08T16:00:00,679,1,stackoverflow.com,General Software Development,2
2014-03-08T16:00:00,241,1,iTerm,Systems Operations,2
2014-03-08T16:00:00,197,1,xquartz.macosforge.org,Systems Operations,2
2014-03-08T16:00:00,168,1,ahwkong.com,Uncategorized,0
2014-03-08T16:00:00,133,1,zulip,Uncategorized,0
2014-03-08T16:00:00,112,1,Finder,General Utilities,1
2014-03-08T16:00:00,75,1,localhost:8001,General Software Development,2
2014-03-08T16:00:00,73,1,anh.cs.luc.edu,Uncategorized,0
2014-03-08T16:00:00,46,1,en.wikipedia.org,General Reference &amp; Learning,2
2014-03-08T16:00:00,25,1,google.com,Search,2
2014-03-08T16:00:00,22,1,messages,Instant Message,-1
2014-03-08T16:00:00,20,1,github.com,General Software Development,2
2014-03-08T16:00:00,18,1,hostmonster.com,Internet Utilities,-2
2014-03-08T16:00:00,16,1,smash.psych.nyu.edu,Uncategorized,0
2014-03-08T16:00:00,10,1,newtab,Browsers,0
2014-03-08T16:00:00,4,1,Adium,Instant Message,-1
2014-03-08T16:00:00,2,1,Gmail,Email,0
2014-03-08T16:00:00,1,1,my.hostmonster.com,Operations,2
2014-03-08T17:00:00,323,1,google.com,Search,2
2014-03-08T17:00:00,27,1,mail.python.org,Engineering &amp; Technology,2
2014-03-08T17:00:00,10,1,newtab,Browsers,0
2014-03-08T17:00:00,8,1,stackoverflow.com,General Software Development,2
2014-03-08T19:00:00,401,1,iTerm,Systems Operations,2
2014-03-08T19:00:00,35,1,loginwindow,General Utilities,1
2014-03-08T19:00:00,32,1,Gmail,Email,0
2014-03-08T19:00:00,27,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-08T19:00:00,23,1,messages,Instant Message,-1
2014-03-08T19:00:00,10,1,google.com,Search,2
2014-03-08T19:00:00,5,1,newtab,Browsers,0
2014-03-08T19:00:00,4,1,localhost:8001,General Software Development,2
2014-03-08T20:00:00,211,1,stackoverflow.com,General Software Development,2
2014-03-08T20:00:00,115,1,zulip,Uncategorized,0
2014-03-08T20:00:00,47,1,mathematica,Engineering &amp; Technology,2
2014-03-08T20:00:00,35,1,loginwindow,General Utilities,1
2014-03-08T20:00:00,28,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-08T20:00:00,26,1,messages,Instant Message,-1
2014-03-08T20:00:00,11,1,iTerm,Systems Operations,2
2014-03-08T20:00:00,7,1,newtab,Browsers,0
2014-03-08T20:00:00,5,1,google.com,Search,2
2014-03-08T21:00:00,90,1,en.wikipedia.org,General Reference &amp; Learning,2
2014-03-08T21:00:00,56,1,rule146.com,Uncategorized,0
2014-03-08T21:00:00,47,1,loginwindow,General Utilities,1
2014-03-08T21:00:00,23,1,stackoverflow.com,General Software Development,2
2014-03-08T21:00:00,23,1,linkedin.com,Professional Networking,2
2014-03-08T21:00:00,10,1,newtab,Browsers,0
2014-03-08T21:00:00,2,1,google.com,Search,2
2014-03-08T22:00:00,150,1,linkedin.com,Professional Networking,2
2014-03-08T22:00:00,23,1,complex-systems.com,Uncategorized,0
2014-03-09T00:00:00,749,1,Twitter,General Social Networking,2
2014-03-09T00:00:00,636,1,airbnb.com,Travel &amp; Outdoors,2
2014-03-09T00:00:00,177,1,Gmail,Email,0
2014-03-09T00:00:00,89,1,zulip,Uncategorized,0
2014-03-09T00:00:00,44,1,github.com,General Software Development,2
2014-03-09T00:00:00,42,1,metmuseum.org,General Entertainment,-2
2014-03-09T00:00:00,17,1,linkedin.com,Professional Networking,2
2014-03-09T00:00:00,11,1,hackerschool.com,Uncategorized,0
2014-03-09T00:00:00,9,1,stackoverflow.com,General Software Development,2
2014-03-09T00:00:00,3,1,loginwindow,General Utilities,1
2014-03-09T00:00:00,3,1,newtab,Browsers,0
2014-03-09T00:00:00,2,1,email.airbnb.com,Uncategorized,0
2014-03-09T00:00:00,1,1,rule146.com,Uncategorized,0
2014-03-09T00:00:00,1,1,complex-systems.com,Uncategorized,0
2014-03-09T00:00:00,1,1,google.com,Search,2
2014-03-09T00:00:00,1,1,localhost:8001,General Software Development,2
2014-03-09T00:00:00,1,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-09T01:00:00,591,1,netflix.com,Video,-2
2014-03-09T01:00:00,365,1,zulip,Uncategorized,0
2014-03-09T01:00:00,279,1,google.com,Search,2
2014-03-09T01:00:00,159,1,metmuseum.org,General Entertainment,-2
2014-03-09T01:00:00,117,1,videology.info,Uncategorized,0
2014-03-09T01:00:00,107,1,startreksundays.tumblr.com,Uncategorized,0
2014-03-09T01:00:00,51,1,github.com,General Software Development,2
2014-03-09T01:00:00,29,1,newtab,Browsers,0
2014-03-09T01:00:00,23,1,localhost:8004,Data Modeling &amp; Analysis,2
2014-03-09T01:00:00,22,1,hackerschool.com,Uncategorized,0
2014-03-09T01:00:00,19,1,Twitter,General Social Networking,2
2014-03-09T01:00:00,9,1,localhost:8001,General Software Development,2
2014-03-09T01:00:00,8,1,dev.twitter.com,General News &amp; Opinion,-2
2014-03-09T01:00:00,5,1,facebook.github.io,Uncategorized,0
2014-03-09T01:00:00,1,1,ahwkong.com,Uncategorized,0
2014-03-09T01:00:00,1,1,help.typepad.com,Uncategorized,0
2014-03-09T01:00:00,1,1,xquartz.macosforge.org,Systems Operations,2
2014-03-09T03:00:00,35,1,loginwindow,General Utilities,1
2014-03-09T03:00:00,22,1,localhost:8001,General Software Development,2
2014-03-09T03:00:00,2,1,netflix.com,Video,-2
2014-03-09T15:00:00,20,1,Gmail,Email,0
2014-03-09T15:00:00,4,1,localhost:8001,General Software Development,2
2014-03-09T15:00:00,2,1,newtab,Browsers,0
2014-03-09T22:00:00,550,1,Twitter,General Social Networking,2
2014-03-09T22:00:00,376,1,google.com,Search,2
2014-03-09T22:00:00,82,1,abclocal.go.com,General News &amp; Opinion,-2
2014-03-09T22:00:00,57,1,facebook.com,General Social Networking,2
2014-03-09T22:00:00,53,1,hackerschool.com,Uncategorized,0
2014-03-09T22:00:00,42,1,app store,General Shopping,-2
2014-03-09T22:00:00,30,1,brooklynspectator.com,Uncategorized,0
2014-03-09T22:00:00,29,1,Gmail,Email,0
2014-03-09T22:00:00,25,1,videology.info,Uncategorized,0
2014-03-09T22:00:00,23,1,newtab,Browsers,0
2014-03-09T22:00:00,8,1,nydailynews.com,General News &amp; Opinion,-2
2014-03-09T22:00:00,6,1,nitehawkcinema.com,Uncategorized,0
2014-03-09T22:00:00,4,1,loginwindow,General Utilities,1
2014-03-09T22:00:00,1,1,localhost:8001,General Software Development,2
2014-03-09T22:00:00,1,1,SecurityAgent,Systems Operations,2
2014-03-09T23:00:00,765,1,facebook.com,General Social Networking,2
2014-03-09T23:00:00,325,1,Twitter,General Social Networking,2
2014-03-09T23:00:00,44,1,iTunes,Music,-2
2014-03-09T23:00:00,22,1,wolfram.com,Intelligence,2
2014-03-09T23:00:00,11,1,localhost:8001,General Software Development,2
2014-03-09T23:00:00,9,1,Gmail,Email,0
2014-03-09T23:00:00,1,1,hackerschool.com,Uncategorized,0
2014-03-10T10:00:00,92,1,iTerm,Systems Operations,2
2014-03-10T10:00:00,90,1,github.com,General Software Development,2
2014-03-10T10:00:00,15,1,localhost:8001,General Software Development,2
2014-03-10T10:00:00,12,1,newtab,Browsers,0
2014-03-10T10:00:00,4,1,coursera.org,General Reference &amp; Learning,2
2014-03-10T10:00:00,3,1,iTunes,Music,-2
2014-03-10T10:00:00,3,1,loginwindow,General Utilities,1
2014-03-10T10:00:00,3,1,google.com,Search,2
2014-03-10T10:00:00,3,1,feedme.io,Uncategorized,0
2014-03-10T10:00:00,2,1,feedme.uk.com,Uncategorized,0
2014-03-10T10:00:00,1,1,localhost:8002,General Software Development,2
2014-03-10T10:00:00,1,1,localhost:8003,Uncategorized,0
2014-03-10T11:00:00,1670,1,developer.foursquare.com,Engineering &amp; Technology,2
2014-03-10T11:00:00,342,1,github.com,General Software Development,2
2014-03-10T11:00:00,237,1,iTerm,Systems Operations,2
2014-03-10T11:00:00,144,1,google.com,Search,2
2014-03-10T11:00:00,73,1,stackoverflow.com,General Software Development,2
2014-03-10T11:00:00,63,1,google.com/calendar,Calendars,0
2014-03-10T11:00:00,57,1,evernote,Intelligence,2
2014-03-10T11:00:00,52,1,foursquare.com,General Social Networking,2
2014-03-10T11:00:00,44,1,newtab,Browsers,0
2014-03-10T11:00:00,35,1,loginwindow,General Utilities,1
2014-03-10T11:00:00,7,1,feedme.com,Uncategorized,0
2014-03-10T11:00:00,5,1,Twitter,General Social Networking,2
2014-03-10T11:00:00,4,1,feedme.uk.com,Uncategorized,0
2014-03-10T11:00:00,4,1,facebook.com,General Social Networking,2
2014-03-10T12:00:00,515,1,developer.foursquare.com,Engineering &amp; Technology,2
2014-03-10T12:00:00,347,1,iTerm,Systems Operations,2
2014-03-10T12:00:00,61,1,evernote,Intelligence,2
2014-03-10T12:00:00,43,1,Finder,General Utilities,1
2014-03-10T12:00:00,8,1,newtab,Browsers,0
2014-03-10T12:00:00,5,1,google.com,Search,2
2014-03-10T12:00:00,4,1,foursquare.com,General Social Networking,2
2014-03-10T13:00:00,768,1,nodejs.org,Engineering &amp; Technology,2
2014-03-10T13:00:00,496,1,iTerm,Systems Operations,2
2014-03-10T13:00:00,399,1,stackoverflow.com,General Software Development,2
2014-03-10T13:00:00,26,1,google.com,Search,2
2014-03-10T13:00:00,19,1,newtab,Browsers,0
2014-03-10T13:00:00,6,1,Finder,General Utilities,1
2014-03-10T13:00:00,4,1,developer.foursquare.com,Engineering &amp; Technology,2
2014-03-10T14:00:00,112,1,docs.nodejitsu.com,Uncategorized,0
2014-03-10T14:00:00,37,1,loginwindow,General Utilities,1
2014-03-10T14:00:00,25,1,nodejs.org,Engineering &amp; Technology,2
2014-03-10T14:00:00,9,1,iTerm,Systems Operations,2
2014-03-10T14:00:00,6,1,google.com,Search,2
2014-03-10T15:00:00,175,1,iTerm,Systems Operations,2
